scenario,energy_capacity_MWh,power_capacity_MW,total_cost_CNY,thermal_cost_CNY,storage_cost_CNY,curtailment_cost_CNY,load_shedding_cost_CNY,renewable_utilization_pct,curtailment_rate_pct,num_steps,time_step_hours,thermal_generation_MWh,curtailment_MWh,load_shedding_MWh,storage_discharge_MWh,initial_inventory_supply_MWh,simulation_hours,storage_capex_CNY,capital_recovery_factor,year_fraction,storage_annualized_investment_CNY_per_year,storage_annual_fixed_om_CNY_per_year,storage_investment_allocated_CNY,storage_fixed_om_CNY,storage_variable_om_CNY,storage_om_cost_CNY,operating_cost_excluding_investment_CNY,initial_inventory_thermal_value_CNY,solver_status,storage_utilization_pct,storage_charge_MWh,operating_objective_CNY,max_constraint_residual
E040_P10,40,10,498294.696986,405769,11902.5895207,80623.1074654,0,81.4731075205,18.5268924795,24,1,1159.34,403.115537327,0,74.647975,0,24,35000000,0.0963422876092,0.0027397260274,3371980.06632,700000,9238.30155157,1917.80821918,746.47975,2664.28796918,489056.395435,0,Optimal,83.3333333333,82.7124376731,487138.587215,3.68949315543e-12
E040_P15,40,15,496277.807431,404349.240997,12608.1287609,79320.4376731,0,81.77245623,18.22754377,24,1,1155.28354571,396.602188366,0,97.39,0,24,36500000,0.0963422876092,0.0027397260274,3516493.49774,730000,9634.22876092,2000,973.9,2973.9,486643.57867,0,Optimal,79.1666666667,107.911357341,484643.57867,5.52979884105e-12
E040_P20,40,20,496637.53861,404349.240997,13188.2477511,79100.0498615,0,81.8231005355,18.1768994645,24,1,1155.28354571,395.500249308,0,107.59,0,24,38000000,0.0963422876092,0.0027397260274,3661006.92915,760000,10030.1559703,2082.19178082,1075.9,3158.09178082,486607.38264,0,Optimal,75,119.213296399,484525.190859,7.37099270509e-12
E040_P25,40,25,496960.266633,404349.240997,13800.2477413,78810.7778947,0,81.8895741657,18.1104258343,24,1,1155.28354571,394.053889474,0,120.9781,0,24,39500000,0.0963422876092,0.0027397260274,3805520.36057,790000,10426.0831796,2164.38356164,1209.781,3374.16456164,486534.183454,0,Optimal,75,134.047756233,484369.799892,8.3093532055e-12
E040_P30,40,30,497331.331123,404349.240997,14370.6022314,78611.4878947,0,81.935370272,18.064629728,24,1,1155.28354571,393.057439474,0,130.20165,0,24,41000000,0.0963422876092,0.0027397260274,3950033.79198,820000,10822.010389,2246.57534247,1302.0165,3548.59184247,486509.320734,0,Optimal,75,144.267756233,484262.745392,9.97957272375e-12
E040_P35,40,35,497732.265903,404349.240997,14915.2212216,78467.8036842,0,81.9683883732,18.0316116268,24,1,1155.28354571,392.339018421,0,136.85165,0,24,42500000,0.0963422876092,0.0027397260274,4094547.22339,850000,11217.9375983,2328.76712329,1368.5165,3697.28362329,486514.328305,0,Optimal,75,151.636177285,484185.561181,1.11977094264e-11
E040_P40,40,40,498210.384893,404349.240997,15393.3402118,78467.8036842,0,81.9683883732,18.0316116268,24,1,1155.28354571,392.339018421,0,136.85165,0,24,44000000,0.0963422876092,0.0027397260274,4239060.65481,880000,11613.8648077,2410.95890411,1368.5165,3779.47540411,486596.520086,0,Optimal,75,151.636177285,484185.561181,1.12052589429e-11
E040_P45,40,45,498688.503883,404349.240997,15871.459202,78467.8036842,0,81.9683883732,18.0316116268,24,1,1155.28354571,392.339018421,0,136.85165,0,24,45500000,0.0963422876092,0.0027397260274,4383574.08622,910000,12009.792017,2493.15068493,1368.5165,3861.66718493,486678.711866,0,Optimal,75,151.636177285,484185.561181,1.11981535156e-11
E040_P50,40,50,499166.622874,404349.240997,16349.5781921,78467.8036842,0,81.9683883732,18.0316116268,24,1,1155.28354571,392.339018421,0,136.85165,0,24,47000000,0.0963422876092,0.0027397260274,4528087.51763,940000,12405.7192264,2575.34246575,1368.5165,3943.85896575,486760.903647,0,Optimal,75,151.636177285,484185.561181,1.11981535156e-11
E050_P05,50,5,508006.732966,410441.5,13717.9587282,83847.2742382,0,80.7322058979,19.2677941021,24,1,1172.69,419.236371191,0,49,0,24,41500000,0.0963422876092,0.0027397260274,3998204.93578,830000,10953.9861254,2273.97260274,490,2763.97260274,497052.746841,0,Optimal,87.5,54.2936288089,494778.774238,1.84741111298e-12
