hour,load,wind,solar,cluster
6,103,77.299999999999997,116.03,14
7,122,67.25,85.430000000000007,14
8,139,48.030000000000001,54.060000000000002,14
9,145,38.609999999999999,25.25,14
10,141,39.299999999999997,3.6800000000000002,14
11,134,34.770000000000003,0,14
12,128,29.66,0,14
13,125,26.960000000000001,0,14
14,127,25.879999999999999,0,14
15,133,25.879999999999999,0,14
16,143,24.629999999999999,0,14
17,154,29.079999999999998,0,14
18,160,14.93,0,14
19,162,3.77,0,14
20,151,16.739999999999998,0,14
21,132,24.420000000000002,0,14
22,112,22.620000000000001,3.6299999999999999,14
23,99,19.899999999999999,15.369999999999999,14
0,96.599999999999994,2.1800000000000002,61.590000000000003,15
1,91.349999999999994,1.5600000000000001,90.019999999999996,15
2,87.150000000000006,0.89000000000000001,108.8,15
3,85.049999999999997,0.46999999999999997,115.45999999999999,15
4,86.099999999999994,0.14999999999999999,128.55000000000001,15
5,93.450000000000003,0,118.79000000000001,15
6,108.15000000000001,0,110.98,15
7,128.09999999999999,0,88.519999999999996,15
8,145.94999999999999,0,56.890000000000001,15
9,152.25,0,30.140000000000001,15
10,148.05000000000001,1.1299999999999999,10.9,15
11,140.69999999999999,4.29,0,15
12,134.40000000000001,9.1300000000000008,0,15
13,131.25,12.77,0,15
14,133.34999999999999,13.609999999999999,0,15
15,139.65000000000001,12.09,0,15
16,150.15000000000001,8.5700000000000003,0,15
17,161.69999999999999,6.8200000000000003,0,15
18,168,6.54,0,15
19,170.09999999999999,7.0700000000000003,0,15
20,158.55000000000001,7.7199999999999998,0,15
21,138.59999999999999,8.6799999999999997,0.45000000000000001,15
22,117.59999999999999,7.1200000000000001,12.279999999999999,15
23,103.95,6.21,37.890000000000001,15
0,92,0,5.7300000000000004,16
1,87,0,12.99,16
2,83,0,19.530000000000001,16
3,81,0,25.620000000000001,16
4,82,0,26.079999999999998,16
5,89,0,25.149999999999999,16
6,103,0,19.710000000000001,16
7,122,0,11.82,16
8,139,0,3.2000000000000002,16
9,145,0,0.35999999999999999,16
10,141,0,0,16
11,134,0.68000000000000005,0,16
12,128,1.74,0,16
13,125,2.5499999999999998,0,16
14,127,2.8300000000000001,0,16
15,133,2.4900000000000002,0,16
16,143,1.6399999999999999,0,16
17,154,0.64000000000000001,0,16
18,160,0,0,16
19,162,0,0,16
20,151,0,0,16
21,132,0,0,16
22,112,0.54000000000000004,0,16
23,99,2.7999999999999998,1.6000000000000001,16
0,96.599999999999994,12.42,16.289999999999999,17
1,91.349999999999994,12.9,22.539999999999999,17
2,87.150000000000006,10.300000000000001,31.370000000000001,17
3,85.049999999999997,7.1699999999999999,30.539999999999999,17
4,86.099999999999994,5.3700000000000001,29.359999999999999,17
5,93.450000000000003,4.9100000000000001,20.280000000000001,17
6,108.15000000000001,6.2599999999999998,15.83,17
7,128.09999999999999,9.3000000000000007,12.300000000000001,17
8,145.94999999999999,10.92,8.0299999999999994,17
9,152.25,9.9399999999999995,3.6099999999999999,17
10,148.05000000000001,14.779999999999999,0.35999999999999999,17
11,140.69999999999999,22.530000000000001,0,17
12,134.40000000000001,30.710000000000001,0,17
13,131.25,23.710000000000001,0,17
14,133.34999999999999,22.329999999999998,0,17
15,139.65000000000001,20.449999999999999,0,17
16,150.15000000000001,22.239999999999998,0,17
17,161.69999999999999,26.309999999999999,0,17
18,168,28.629999999999999,0,17
19,170.09999999999999,26.629999999999999,0,17
20,158.55000000000001,23.609999999999999,0,17
21,138.59999999999999,21.949999999999999,0,17
22,117.59999999999999,22.329999999999998,0.88,17
23,103.95,24.120000000000001,6.6600000000000001,17
0,92,0.97999999999999998,37.32,18
1,87,1.6399999999999999,46.399999999999999,18
2,83,1.4399999999999999,61.979999999999997,18
3,81,1.74,81.739999999999995,18
4,82,2.1800000000000002,84.909999999999997,18
5,89,2.5800000000000001,84.079999999999998,18
6,103,1.79,77.909999999999997,18
7,122,0.54000000000000004,62.380000000000003,18
8,139,0.20000000000000001,35.5,18
9,145,0.029999999999999999,18.030000000000001,18
10,141,0,6.1100000000000003,18
11,134,0,0.31,18
12,128,0,0,18
13,125,0,0,18
14,127,0.17999999999999999,0,18
15,133,1.3700000000000001,0,18
16,143,3.5600000000000001,0,18
17,154,0,0,18
18,160,0,0,18
19,162,0,0,18
20,151,1.79,0,18
21,132,4.0999999999999996,0.76000000000000001,18
22,112,4.71,8.4199999999999999,18
23,99,3.73,22.620000000000001,18
0,92,23.309999999999999,33.450000000000003,19
1,87,33.380000000000003,64.099999999999994,19
2,83,26.739999999999998,91.640000000000001,19
3,81,20.629999999999999,108.02,19
4,82,19.989999999999998,100.70999999999999,19
5,89,21.949999999999999,91.079999999999998,19
6,103,23.809999999999999,78.920000000000002,19
7,122,25.25,60.490000000000002,19
8,139,23.920000000000002,36.390000000000001,19
9,145,18.84,11.43,19
10,141,19.280000000000001,0,19
11,134,21.100000000000001,0,19
12,128,20.359999999999999,0,19
13,125,16.98,0,19
14,127,12.56,0,19
15,133,10.06,0,19
16,143,7.6200000000000001,0,19
17,154,4.6699999999999999,0,19
18,160,2.4300000000000002,0,19
